School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking
Nevada-Las Vegas,San Jose State,2018-10-27,2018-19,0,0,37,50,87,L,13,Regular,8,28,50,56.0,387,4,37,167,4.5,1,4,4,100.0,1,1,100.0,7,0,3,3,-1.0
Vanderbilt,Arkansas,2018-10-27,2018-19,0,0,45,31,76,W,-14,Regular,9,13,19,68.4,192,2,49,250,5.1,4,6,6,100.0,1,1,100.0,9,0,0,0,-1.0
Washington,California,2018-10-27,2018-19,0,0,10,12,22,L,2,Regular,9,12,25,48.0,159,1,33,91,2.8,0,1,1,100.0,1,1,100.0,4,0,2,2,12.4
Washington State,Stanford,2018-10-27,2018-19,0,0,41,38,79,W,-3,Regular,8,40,50,80.0,438,3,19,59,3.1,2,5,5,100.0,2,2,100.0,11,0,0,0,12.5
Wisconsin,Northwestern,2018-10-27,2018-19,0,0,17,31,48,L,14,Regular,8,20,33,60.6,158,1,32,165,5.2,1,2,2,100.0,1,3,33.3,5,3,0,3,12.0
Connecticut,Tulsa,2018-11-03,2018-19,0,0,19,49,68,L,30,Regular,9,14,28,50.0,232,2,50,255,5.1,0,1,1,100.0,2,2,100.0,7,2,1,3,-1.0
Duke,Miami (FL),2018-11-03,2018-19,0,0,20,12,32,W,-8,Regular,9,19,37,51.4,144,1,30,146,4.9,1,2,2,100.0,2,2,100.0,8,0,1,1,23.0
Florida Atlantic,Florida International,2018-11-03,2018-19,0,0,49,14,63,W,-35,Regular,9,10,16,62.5,157,2,60,439,7.3,5,7,7,100.0,0,1,0.0,7,0,0,0,-1.0
Fresno State,Nevada-Las Vegas,2018-11-03,2018-19,0,0,48,3,51,W,-45,Regular,9,26,35,74.3,274,2,34,192,5.6,4,6,6,100.0,2,2,100.0,12,0,1,1,21.8
Georgia,Kentucky,2018-11-03,2018-19,0,0,34,17,51,W,-17,Regular,9,14,20,70.0,113,1,50,331,6.6,3,4,4,100.0,2,2,100.0,10,2,0,2,4.066666666666666
Georgia Southern,Louisiana-Monroe,2018-11-03,2018-19,0,0,25,44,69,L,19,Regular,9,8,15,53.3,78,1,46,138,3.0,0,2,2,100.0,1,3,33.3,5,1,0,1,-1.0
Georgia Tech,North Carolina,2018-11-03,2018-19,0,0,38,28,66,W,-10,Regular,9,2,2,100.0,104,1,74,461,6.2,4,5,5,100.0,1,1,100.0,8,3,0,3,-1.0
Houston,Southern Methodist,2018-11-03,2018-19,0,0,31,45,76,L,14,Regular,9,11,22,50.0,175,2,47,190,4.0,1,4,4,100.0,1,1,100.0,7,2,0,2,17.0
Iowa,Purdue,2018-11-03,2018-19,0,0,36,38,74,L,2,Regular,9,21,32,65.6,275,1,37,118,3.2,4,3,3,100.0,1,1,100.0,6,1,0,1,19.333333333333332
Iowa State,Kansas,2018-11-03,2018-19,0,0,27,3,30,W,-24,Regular,8,17,24,70.8,273,3,38,121,3.2,0,3,3,100.0,2,3,66.7,9,0,0,0,22.5
Liberty,Massachusetts,2018-11-03,2018-19,0,0,59,62,121,L,3,Regular,8,16,35,45.7,272,2,51,216,4.2,5,8,8,100.0,1,1,100.0,11,0,4,4,-1.0
Louisville,Clemson,2018-11-03,2018-19,0,0,16,77,93,L,61,Regular,9,17,34,50.0,231,0,36,81,2.3,1,1,2,50.0,1,1,100.0,4,1,2,3,-1.0
Marshall,Southern Mississippi,2018-11-03,2018-19,0,0,24,26,50,L,2,Regular,8,17,38,44.7,218,1,22,31,1.4,1,3,3,100.0,1,1,100.0,6,3,2,5,-1.0
Memphis,East Carolina,2018-11-03,2018-19,0,0,59,41,100,W,-18,Regular,9,21,30,70.0,362,3,52,277,5.3,5,8,8,100.0,1,1,100.0,11,0,0,0,-1.0
Michigan State,Maryland,2018-11-03,2018-19,0,0,24,3,27,W,-21,Regular,9,11,22,50.0,87,0,46,269,5.8,3,3,3,100.0,1,1,100.0,6,0,2,2,18.166666666666668
Minnesota,Illinois,2018-11-03,2018-19,0,0,31,55,86,L,24,Regular,9,15,28,53.6,260,2,42,178,4.2,2,4,4,100.0,1,1,100.0,7,2,0,2,-1.0
Missouri,Florida,2018-11-03,2018-19,0,0,38,17,55,W,-21,Regular,9,24,32,75.0,250,3,42,221,5.3,2,5,5,100.0,1,1,100.0,8,0,0,0,23.5
Nebraska,Ohio State,2018-11-03,2018-19,0,0,31,36,67,L,5,Regular,9,22,33,66.7,266,1,49,184,3.8,3,4,4,100.0,1,1,100.0,7,1,0,1,-1.0
Notre Dame,Northwestern,2018-11-03,2018-19,0,0,31,21,52,W,-10,Regular,9,22,34,64.7,343,2,40,121,3.0,2,4,4,100.0,1,2,50.0,7,1,0,1,5.333333333333333
Oklahoma State,Baylor,2018-11-03,2018-19,0,0,31,35,66,L,4,Regular,9,25,42,59.5,301,1,47,212,4.5,3,4,4,100.0,1,3,33.3,7,1,0,1,20.666666666666668
Rutgers,Wisconsin,2018-11-03,2018-19,0,0,17,31,48,L,14,Regular,9,20,39,51.3,261,1,26,72,2.8,1,2,2,100.0,1,2,50.0,5,0,0,0,-1.0
San Diego State,New Mexico,2018-11-03,2018-19,0,0,31,23,54,W,-8,Regular,9,17,25,68.0,240,1,40,161,4.0,3,4,4,100.0,1,1,100.0,7,3,0,3,-1.0
South Carolina,Mississippi,2018-11-03,2018-19,0,0,48,44,92,W,-4,Regular,8,22,32,68.8,363,2,36,145,4.0,3,6,6,100.0,2,2,100.0,12,0,0,0,24.0
Stanford,Washington,2018-11-03,2018-19,0,0,23,27,50,L,4,Regular,9,29,44,65.9,347,2,23,77,3.3,1,2,3,66.7,1,1,100.0,5,0,3,3,14.444444444444445
Syracuse,Wake Forest,2018-11-03,2018-19,0,0,41,24,65,W,-17,Regular,9,23,35,65.7,157,0,60,264,4.4,5,5,5,100.0,2,2,100.0,11,0,0,0,18.0
Texas A&M,Auburn,2018-11-03,2018-19,0,0,24,28,52,L,4,Regular,9,16,32,50.0,220,1,47,201,4.3,2,3,3,100.0,1,2,50.0,6,1,1,2,19.5
Texas State,Georgia State,2018-11-03,2018-19,0,0,40,31,71,W,-9,Regular,9,21,26,80.8,325,2,36,164,4.6,4,4,6,66.7,0,1,0.0,4,0,0,0,-1.0
Tulane,South Florida,2018-11-03,2018-19,0,0,41,15,56,W,-26,Regular,9,4,11,36.4,61,0,52,365,7.0,5,5,5,100.0,2,3,66.7,11,1,0,1,-1.0
UCLA,Oregon,2018-11-03,2018-19,0,0,21,42,63,L,21,Regular,9,23,49,46.9,297,2,38,199,5.2,1,3,3,100.0,0,1,0.0,3,2,1,3,-1.0
Southern California,Oregon State,2018-11-03,2018-19,0,0,38,21,59,W,-17,Regular,9,14,26,53.8,177,1,44,332,7.5,4,5,5,100.0,1,1,100.0,8,1,0,1,16.0
Utah,Arizona State,2018-11-03,2018-19,0,0,20,38,58,L,18,Regular,9,11,26,42.3,147,1,32,178,5.6,1,2,2,100.0,2,2,100.0,8,0,3,3,19.142857142857142
West Virginia,Texas,2018-11-03,2018-19,0,0,42,41,83,W,-1,Regular,8,28,42,66.7,346,3,33,232,7.0,2,4,4,100.0,2,2,100.0,10,0,0,0,12.333333333333334
Colorado,Arizona,2018-11-02,2018-19,0,0,34,42,76,L,8,Regular,9,27,43,62.8,343,3,32,40,1.3,1,4,4,100.0,2,2,100.0,10,1,1,2,21.666666666666668
Pittsburgh,Virginia,2018-11-02,2018-19,0,0,23,13,36,W,-10,Regular,9,7,14,50.0,61,0,42,254,6.0,3,2,2,100.0,1,1,100.0,5,0,0,0,25.0
Western Kentucky,Middle Tennessee State,2018-11-02,2018-19,0,0,10,29,39,L,19,Regular,9,16,47,34.0,270,1,25,109,4.4,0,1,1,100.0,1,2,50.0,4,1,1,2,-1.0
Northern Illinois,Akron,2018-11-01,2018-19,0,0,36,26,62,W,-10,Regular,9,21,28,75.0,188,1,61,296,4.9,2,4,4,100.0,2,3,66.7,10,1,0,1,-1.0
Kansas,Kansas State,2018-11-10,2018-19,0,0,17,21,38,L,4,Regular,10,21,34,61.8,232,2,35,115,3.3,0,2,2,100.0,1,1,100.0,5,2,0,2,-1.0
Kentucky,Tennessee,2018-11-10,2018-19,0,0,7,24,31,L,17,Regular,10,23,38,60.5,185,1,34,85,2.5,0,1,1,100.0,0,2,0.0,1,1,2,3,15.909090909090908
Liberty,Virginia,2018-11-10,2018-19,0,0,24,45,69,L,21,Regular,9,15,27,55.6,149,0,44,205,4.7,3,3,3,100.0,1,2,50.0,6,0,3,3,-1.0
Louisiana-Monroe,South Alabama,2018-11-10,2018-19,0,0,38,10,48,W,-28,Regular,10,28,33,84.8,376,2,38,175,4.6,3,5,5,100.0,1,1,100.0,8,1,0,1,-1.0
Louisiana State,Arkansas,2018-11-10,2018-19,0,0,24,17,41,W,-7,Regular,10,15,21,71.4,195,1,48,164,3.4,2,3,3,100.0,1,1,100.0,6,1,0,1,9.6
Maryland,Indiana,2018-11-10,2018-19,0,0,32,34,66,L,2,Regular,10,14,25,56.0,189,1,59,353,6.0,2,0,1,0.0,4,4,100.0,12,3,1,4,-1.0
Middle Tennessee State,Texas-El Paso,2018-11-10,2018-19,0,0,48,32,80,W,-16,Regular,10,31,40,77.5,352,4,36,139,3.9,2,4,6,66.7,0,1,0.0,4,2,0,2,-1.0
Navy,Central Florida,2018-11-10,2018-19,0,0,24,35,59,L,11,Regular,10,0,2,0.0,0,0,62,375,6.0,3,3,3,100.0,1,1,100.0,6,1,0,1,-1.0
New Mexico,Air Force,2018-11-10,2018-19,0,0,24,42,66,L,18,Regular,10,13,18,72.2,186,0,36,119,3.3,2,3,3,100.0,1,1,100.0,6,1,1,2,-1.0
North Carolina,Duke,2018-11-10,2018-19,0,0,35,42,77,L,7,Regular,9,27,43,62.8,221,1,37,315,8.5,4,5,5,100.0,0,1,0.0,5,0,0,0,-1.0
North Texas,Old Dominion,2018-11-10,2018-19,0,0,31,34,65,L,3,Regular,10,26,44,59.1,240,2,38,155,4.1,2,4,4,100.0,1,1,100.0,7,1,1,2,-1.0
Northwestern,Iowa,2018-11-10,2018-19,0,0,14,10,24,W,-4,Regular,10,15,30,50.0,122,1,46,184,4.0,1,2,2,100.0,0,1,0.0,2,0,2,2,21.333333333333332
Ohio State,Michigan State,2018-11-10,2018-19,0,0,26,6,32,W,-20,Regular,10,24,39,61.5,227,1,45,120,2.7,1,3,3,100.0,1,2,50.0,6,1,0,1,-1.0
Oklahoma State,Oklahoma,2018-11-10,2018-19,0,0,47,48,95,L,1,Regular,10,34,53,64.2,501,3,33,139,4.2,4,5,6,83.3,0,1,0.0,5,1,0,1,20.666666666666668
Mississippi,Texas A&M,2018-11-10,2018-19,0,0,24,38,62,L,14,Regular,10,22,35,62.9,373,1,30,67,2.2,1,3,3,100.0,1,2,50.0,6,1,0,1,-1.0
Oregon,Utah,2018-11-10,2018-19,0,0,25,32,57,L,7,Regular,10,20,33,60.6,288,3,32,117,3.7,0,2,2,100.0,1,2,50.0,5,1,0,1,18.428571428571427
Oregon State,Stanford,2018-11-10,2018-19,0,0,17,48,65,L,31,Regular,10,17,35,48.6,236,2,33,168,5.1,0,2,2,100.0,1,2,50.0,5,0,1,1,-1.0
Purdue,Minnesota,2018-11-10,2018-19,0,0,10,41,51,L,31,Regular,10,21,32,65.6,145,1,30,88,2.9,0,1,1,100.0,1,1,100.0,4,1,0,1,-1.0
Rice,Louisiana Tech,2018-11-10,2018-19,0,0,13,28,41,L,15,Regular,11,19,35,54.3,226,1,29,100,3.4,0,1,1,100.0,2,3,66.7,7,0,3,3,-1.0
San Jose State,Utah State,2018-11-10,2018-19,0,0,24,62,86,L,38,Regular,10,22,42,52.4,344,2,20,56,2.8,0,3,3,100.0,1,1,100.0,6,1,2,3,-1.0
Southern Methodist,Connecticut,2018-11-10,2018-19,0,0,62,50,112,W,-12,Regular,10,20,30,66.7,279,2,38,316,8.3,6,8,8,100.0,2,2,100.0,14,0,0,0,-1.0
South Carolina,Florida,2018-11-10,2018-19,0,0,31,35,66,L,4,Regular,9,18,28,64.3,239,2,36,147,4.1,2,4,4,100.0,1,1,100.0,7,0,1,1,24.0
South Florida,Cincinnati,2018-11-10,2018-19,0,0,23,35,58,L,12,Regular,10,14,32,43.8,232,3,29,81,2.8,0,2,3,66.7,1,1,100.0,5,0,0,0,21.0
Southern Mississippi,Alabama-Birmingham,2018-11-10,2018-19,0,0,23,26,49,L,3,Regular,9,16,39,41.0,160,1,34,5,0.1,1,2,2,100.0,3,3,100.0,11,0,1,1,-1.0
Temple,Houston,2018-11-10,2018-19,0,0,59,49,108,W,-10,Regular,10,15,23,65.2,225,0,55,317,5.8,8,8,8,100.0,1,1,100.0,11,1,0,1,-1.0
Texas,Texas Tech,2018-11-10,2018-19,0,0,41,34,75,W,-7,Regular,10,22,34,64.7,312,4,48,157,3.3,1,5,5,100.0,2,2,100.0,11,0,0,0,15.0
Texas Christian,West Virginia,2018-11-10,2018-19,0,0,10,47,57,L,37,Regular,10,22,37,59.5,229,1,24,-7,-0.3,0,1,1,100.0,1,1,100.0,4,2,0,2,15.75
Troy,Georgia Southern,2018-11-10,2018-19,0,0,35,21,56,W,-14,Regular,10,23,30,76.7,314,1,42,140,3.3,3,3,3,100.0,2,4,50.0,9,1,0,1,-1.0
UCLA,Arizona State,2018-11-10,2018-19,0,0,28,31,59,L,3,Regular,10,26,35,74.3,335,2,29,104,3.6,1,4,4,100.0,0,1,0.0,4,0,1,1,-1.0
Nevada-Las Vegas,San Diego State,2018-11-10,2018-19,0,0,27,24,51,W,-3,Regular,10,16,24,66.7,237,1,43,199,4.6,2,1,1,100.0,2,2,100.0,7,1,1,2,-1.0
Vanderbilt,Missouri,2018-11-10,2018-19,0,0,28,33,61,L,5,Regular,10,24,36,66.7,249,3,29,216,7.4,1,4,4,100.0,0,1,0.0,4,0,0,0,-1.0
Virginia Tech,Pittsburgh,2018-11-10,2018-19,0,0,22,52,74,L,30,Regular,9,23,38,60.5,240,3,48,192,4.0,0,2,2,100.0,0,1,0.0,2,0,0,0,16.5
Washington State,Colorado,2018-11-10,2018-19,0,0,31,7,38,W,-24,Regular,10,37,61,60.7,346,2,33,131,4.0,2,4,4,100.0,1,1,100.0,7,0,0,0,12.5
Western Kentucky,Florida Atlantic,2018-11-10,2018-19,0,0,15,34,49,L,19,Regular,10,25,42,59.5,228,1,34,123,3.6,1,0,1,0.0,1,1,100.0,3,0,1,1,-1.0
Wisconsin,Penn State,2018-11-10,2018-19,0,0,10,22,32,L,12,Regular,10,9,20,45.0,60,0,37,209,5.6,1,1,1,100.0,1,1,100.0,4,2,2,4,12.0
Fresno State,Boise State,2018-11-09,2018-19,0,0,17,24,41,L,7,Regular,10,24,35,68.6,283,1,28,107,3.8,1,2,2,100.0,1,3,33.3,5,0,0,0,21.8
Louisville,Syracuse,2018-11-09,2018-19,0,0,23,54,77,L,31,Regular,10,14,31,45.2,210,1,39,203,5.2,2,2,3,66.7,1,2,50.0,5,2,2,4,-1.0
Wake Forest,North Carolina State,2018-11-08,2018-19,0,0,27,23,50,W,-4,Regular,10,22,33,66.7,297,3,38,138,3.6,0,3,3,100.0,2,2,100.0,9,1,0,1,-1.0
Ohio,Miami (OH),2018-11-07,2018-19,0,0,28,30,58,L,2,Regular,10,16,28,57.1,163,2,32,201,6.3,1,4,4,100.0,0,1,0.0,4,1,0,1,5.4
Toledo,Northern Illinois,2018-11-07,2018-19,0,0,15,38,53,L,23,Regular,10,26,47,55.3,264,1,42,167,4.0,1,0,1,0.0,1,2,50.0,3,0,0,0,-1.0
Alabama,Louisiana State,2018-11-03,2018-19,0,0,29,0,29,W,-29,Regular,9,25,42,59.5,295,2,37,281,7.6,2,2,4,50.0,1,1,100.0,5,0,1,1,1.0
Boston College,Virginia Tech,2018-11-03,2018-19,0,0,31,21,52,W,-10,Regular,9,15,26,57.7,177,1,49,219,4.5,3,4,4,100.0,1,1,100.0,7,1,0,1,21.5
Brigham Young,Boise State,2018-11-03,2018-19,0,0,16,21,37,L,5,Regular,9,19,29,65.5,292,0,38,96,2.5,1,1,1,100.0,3,4,75.0,10,3,0,3,-1.0
California,Washington State,2018-11-03,2018-19,0,0,13,19,32,L,6,Regular,9,18,33,54.5,179,1,36,112,3.1,0,1,1,100.0,2,3,66.7,7,0,2,2,-1.0
Ohio State,Maryland,2018-11-17,2018-19,0,0,52,51,103,W,-1,Regular,11,28,38,73.7,405,3,56,283,5.1,4,7,7,100.0,1,1,100.0,10,2,1,3,-1.0
Mississippi,Vanderbilt,2018-11-17,2018-19,0,0,29,36,65,L,7,Regular,11,32,52,61.5,457,2,30,121,4.0,0,2,2,100.0,5,5,100.0,17,0,2,2,-1.0
Oregon State,Washington,2018-11-17,2018-19,0,0,23,42,65,L,19,Regular,11,21,36,58.3,229,1,35,134,3.8,1,2,2,100.0,3,4,75.0,11,2,0,2,-1.0
Penn State,Rutgers,2018-11-17,2018-19,0,0,20,7,27,W,-13,Regular,11,17,37,45.9,183,2,39,139,3.6,0,2,2,100.0,2,2,100.0,8,1,1,2,12.266666666666667
Rice,Louisiana State,2018-11-17,2018-19,0,0,10,42,52,L,32,Regular,12,7,15,46.7,101,0,43,97,2.3,1,1,1,100.0,1,2,50.0,4,0,0,0,-1.0
San Diego State,Fresno State,2018-11-17,2018-19,0,0,14,23,37,L,9,Regular,11,8,21,38.1,218,2,27,64,2.4,0,2,2,100.0,0,1,0.0,2,0,0,0,-1.0
South Florida,Temple,2018-11-17,2018-19,0,0,17,27,44,L,10,Regular,11,14,23,60.9,82,0,48,184,3.8,2,2,2,100.0,1,1,100.0,5,3,2,5,21.0
Texas Christian,Baylor,2018-11-17,2018-19,0,0,16,9,25,W,-7,Regular,11,15,21,71.4,151,1,42,160,3.8,1,1,1,100.0,1,1,100.0,4,0,0,0,15.75
Alabama-Birmingham,Texas A&M,2018-11-17,2018-19,0,0,20,41,61,L,21,Regular,11,25,39,64.1,306,2,37,111,3.0,1,2,3,66.7,0,3,0.0,2,1,2,3,25.0
Southern California,UCLA,2018-11-17,2018-19,0,0,27,34,61,L,7,Regular,11,20,34,58.8,337,2,27,112,4.1,0,3,3,100.0,2,3,66.7,9,0,2,2,16.0
Utah,Colorado,2018-11-17,2018-19,0,0,30,7,37,W,-23,Regular,11,11,23,47.8,221,2,47,169,3.6,1,3,3,100.0,3,4,75.0,12,0,0,0,19.142857142857142
Utah State,Colorado State,2018-11-17,2018-19,0,0,29,24,53,W,-5,Regular,11,15,24,62.5,169,1,28,141,5.0,0,2,2,100.0,3,3,100.0,11,1,0,1,16.0
Virginia,Georgia Tech,2018-11-17,2018-19,0,0,27,30,57,L,3,Regular,11,22,28,78.6,273,2,33,130,3.9,1,3,3,100.0,2,3,66.7,9,1,0,1,22.0
West Virginia,Oklahoma State,2018-11-17,2018-19,0,0,41,45,86,L,4,Regular,10,27,48,56.3,364,2,43,189,4.4,3,5,5,100.0,2,2,100.0,11,1,0,1,12.333333333333334
Wisconsin,Purdue,2018-11-17,2018-19,0,0,47,44,91,W,-3,Regular,11,16,24,66.7,160,2,51,385,7.5,4,5,5,100.0,2,3,66.7,11,1,0,1,12.0
Boise State,New Mexico,2018-11-16,2018-19,0,0,45,14,59,W,-31,Regular,11,17,27,63.0,222,3,41,227,5.5,2,6,6,100.0,1,2,50.0,9,0,0,0,22.4
Memphis,Southern Methodist,2018-11-16,2018-19,0,0,28,18,46,W,-10,Regular,11,18,31,58.1,226,2,43,208,4.8,2,4,4,100.0,0,1,0.0,4,0,2,2,-1.0
Florida Atlantic,North Texas,2018-11-15,2018-19,0,0,38,41,79,L,3,Regular,11,21,35,60.0,294,2,47,195,4.1,3,5,5,100.0,1,2,50.0,8,0,2,2,-1.0
Tulane,Houston,2018-11-15,2018-19,0,0,17,48,65,L,31,Regular,11,10,24,41.7,147,0,43,212,4.9,2,0,1,0.0,1,1,100.0,3,1,3,4,-1.0
Buffalo,Ohio,2018-11-14,2018-19,0,0,17,52,69,L,35,Regular,11,10,23,43.5,120,0,22,157,7.1,2,2,2,100.0,1,1,100.0,5,2,3,5,-1.0
Miami (OH),Northern Illinois,2018-11-14,2018-19,0,0,13,7,20,W,-6,Regular,11,15,24,62.5,107,0,41,94,2.3,0,1,1,100.0,2,2,100.0,7,0,0,0,-1.0
Western Michigan,Ball State,2018-11-13,2018-19,0,0,41,42,83,L,1,Regular,11,20,29,69.0,187,1,67,361,5.4,4,3,3,100.0,2,2,100.0,9,1,0,1,-1.0
Appalachian State,Texas State,2018-11-10,2018-19,0,0,38,7,45,W,-31,Regular,9,25,36,69.4,247,2,34,221,6.5,3,5,5,100.0,1,1,100.0,8,0,0,0,-1.0
Arkansas State,Coastal Carolina,2018-11-10,2018-19,0,0,44,16,60,W,-28,Regular,10,23,29,79.3,281,4,29,173,6.0,2,5,6,83.3,1,2,50.0,8,1,0,1,-1.0
Auburn,Georgia,2018-11-10,2018-19,0,0,10,27,37,L,17,Regular,10,25,37,67.6,172,1,20,102,5.1,0,1,1,100.0,1,1,100.0,4,0,0,0,10.714285714285714
Baylor,Iowa State,2018-11-10,2018-19,0,0,14,28,42,L,14,Regular,10,29,48,60.4,359,2,32,146,4.6,0,2,2,100.0,0,2,0.0,2,0,0,0,-1.0
Bowling Green State,Central Michigan,2018-11-10,2018-19,0,0,24,13,37,W,-11,Regular,10,14,24,58.3,142,1,51,178,3.5,1,3,3,100.0,1,2,50.0,6,0,1,1,-1.0
Charlotte,Marshall,2018-11-10,2018-19,0,0,13,30,43,L,17,Regular,10,10,20,50.0,72,0,41,113,2.8,1,1,1,100.0,2,2,100.0,7,0,0,0,-1.0
Clemson,Boston College,2018-11-10,2018-19,0,0,27,7,34,W,-20,Regular,10,29,41,70.7,295,1,30,129,4.3,1,3,3,100.0,2,2,100.0,9,1,1,2,2.3333333333333335
Colorado State,Nevada,2018-11-10,2018-19,0,0,10,49,59,L,39,Regular,10,23,40,57.5,186,1,33,74,2.2,0,1,1,100.0,1,1,100.0,4,0,1,1,-1.0
East Carolina,Tulane,2018-11-10,2018-19,0,0,18,24,42,L,6,Regular,9,21,68,30.9,360,2,26,90,3.5,0,1,1,100.0,1,1,100.0,4,0,1,1,-1.0
Florida International,Texas-San Antonio,2018-11-10,2018-19,0,0,45,7,52,W,-38,Regular,10,20,30,66.7,304,3,40,151,3.8,2,6,6,100.0,1,2,50.0,9,0,0,0,-1.0
Akron,Ohio,2018-11-23,2018-19,0,0,28,49,77,L,21,Regular,11,24,41,58.5,356,4,21,32,1.5,0,4,4,100.0,0,1,0.0,4,0,1,1,-1.0
Buffalo,Bowling Green State,2018-11-23,2018-19,0,0,44,14,58,W,-30,Regular,12,12,22,54.5,151,1,60,336,5.6,4,3,5,60.0,1,1,100.0,6,0,1,1,-1.0
Eastern Michigan,Kent State,2018-11-23,2018-19,0,0,28,20,48,W,-8,Regular,12,13,26,50.0,139,0,44,237,5.4,4,4,4,100.0,0,1,0.0,4,1,1,2,-1.0
Houston,Memphis,2018-11-23,2018-19,0,0,31,52,83,L,21,Regular,12,18,43,41.9,256,3,41,138,3.4,0,4,4,100.0,1,1,100.0,7,0,1,1,17.0
Nebraska,Iowa,2018-11-23,2018-19,0,0,28,31,59,L,3,Regular,12,26,38,68.4,260,2,33,140,4.2,1,2,2,100.0,2,2,100.0,8,0,1,1,-1.0
Oklahoma,West Virginia,2018-11-23,2018-19,0,0,59,56,115,W,-3,Regular,12,20,27,74.1,364,3,35,308,8.8,2,8,8,100.0,1,1,100.0,11,1,1,2,6.2
Texas,Kansas,2018-11-23,2018-19,0,0,24,17,41,W,-7,Regular,12,16,28,57.1,154,2,38,149,3.9,1,3,3,100.0,1,1,100.0,6,0,2,2,15.0
Central Florida,South Florida,2018-11-23,2018-19,0,0,38,10,48,W,-28,Regular,11,10,24,41.7,167,1,58,399,6.9,4,5,5,100.0,1,1,100.0,8,0,1,1,12.666666666666666
Virginia,Virginia Tech,2018-11-23,2018-19,0,0,31,34,65,L,3,Regular,12,14,29,48.3,259,3,38,164,4.3,1,4,4,100.0,1,1,100.0,7,3,0,3,22.0
Air Force,Wyoming,2018-11-17,2018-19,0,0,27,35,62,L,8,Regular,11,5,9,55.6,53,0,65,362,5.6,3,3,3,100.0,2,2,100.0,9,0,2,2,-1.0
Arizona State,Oregon,2018-11-17,2018-19,0,0,29,31,60,L,2,Regular,11,15,32,46.9,182,2,41,142,3.5,1,2,2,100.0,3,3,100.0,11,1,0,1,25.0
Boston College,Florida State,2018-11-17,2018-19,0,0,21,22,43,L,1,Regular,11,18,38,47.4,297,1,49,125,2.6,2,3,3,100.0,0,1,0.0,3,0,2,2,21.5
Cincinnati,Central Florida,2018-11-17,2018-19,0,0,13,38,51,L,25,Regular,11,11,26,42.3,127,0,55,252,4.6,1,1,2,50.0,0,2,0.0,1,3,0,3,22.25
Florida International,Charlotte,2018-11-17,2018-19,0,0,42,35,77,W,-7,Regular,11,25,32,78.1,294,2,23,196,8.5,2,4,4,100.0,2,2,100.0,10,0,0,0,-1.0
Georgia Southern,Coastal Carolina,2018-11-17,2018-19,0,0,41,17,58,W,-24,Regular,11,4,6,66.7,33,0,54,409,7.6,5,5,5,100.0,2,2,100.0,11,1,0,1,-1.0
Georgia State,Appalachian State,2018-11-17,2018-19,0,0,17,45,62,L,28,Regular,11,10,21,47.6,132,1,34,197,5.8,1,2,2,100.0,1,1,100.0,5,0,2,2,-1.0
Indiana,Michigan,2018-11-17,2018-19,0,0,20,31,51,L,11,Regular,11,16,35,45.7,195,1,40,190,4.8,1,2,2,100.0,2,2,100.0,8,1,1,2,-1.0
Iowa State,Texas,2018-11-17,2018-19,0,0,10,24,34,L,14,Regular,10,13,29,44.8,148,0,30,62,2.1,1,1,1,100.0,1,2,50.0,4,1,1,2,22.5
Kansas,Oklahoma,2018-11-17,2018-19,0,0,40,55,95,L,15,Regular,11,20,28,71.4,176,1,36,348,9.7,4,3,3,100.0,1,1,100.0,6,0,0,0,-1.0
Louisiana Tech,Southern Mississippi,2018-11-17,2018-19,0,0,20,21,41,L,1,Regular,11,27,43,62.8,243,1,23,68,3.0,1,2,2,100.0,2,3,66.7,8,0,0,0,-1.0
Louisiana-Monroe,Arkansas State,2018-11-17,2018-19,0,0,17,31,48,L,14,Regular,11,17,28,60.7,218,1,26,58,2.2,1,2,2,100.0,1,1,100.0,5,0,3,3,-1.0
Massachusetts,Georgia,2018-11-17,2018-19,0,0,27,66,93,L,39,Regular,12,24,32,75.0,287,2,22,103,4.7,1,3,3,100.0,2,2,100.0,9,0,1,1,-1.0
Miami (FL),Virginia Tech,2018-11-17,2018-19,0,0,38,14,52,W,-24,Regular,11,21,34,61.8,171,2,32,168,5.3,2,5,5,100.0,1,1,100.0,8,0,0,0,17.75
Middle Tennessee State,Kentucky,2018-11-17,2018-19,0,0,23,34,57,L,11,Regular,11,30,33,90.9,293,3,38,99,2.6,0,2,3,66.7,1,1,100.0,5,1,1,2,-1.0
Missouri,Tennessee,2018-11-17,2018-19,0,0,50,17,67,W,-33,Regular,11,21,30,70.0,257,2,49,227,4.6,3,5,6,83.3,3,3,100.0,14,1,0,1,23.5
Nevada,San Jose State,2018-11-17,2018-19,0,0,21,12,33,W,-9,Regular,11,19,32,59.4,314,1,47,149,3.2,2,3,3,100.0,0,1,0.0,3,1,1,2,-1.0
New Mexico State,Brigham Young,2018-11-17,2018-19,0,0,10,45,55,L,35,Regular,11,25,61,41.0,264,1,26,48,1.8,0,1,1,100.0,1,3,33.3,4,1,2,3,-1.0
