School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking
Oklahoma State,Central Arkansas,2015-09-12,2015-16,1,0,32,8,40,W,24,Regular,2,25,39,64.1,414,3,35,164,4.7,1,2,4,50.0,2,2,100.0,8,0,1,1,13.923076923076923
Old Dominion,Norfolk State,2015-09-12,2015-16,1,0,24,10,34,W,14,Regular,2,12,22,54.5,122,0,59,338,5.7,3,3,3,100.0,1,2,50.0,6,0,1,1,-1.0
Mississippi,Fresno State,2015-09-12,2015-16,1,0,73,21,94,W,52,Regular,2,26,37,70.3,392,4,35,215,6.1,4,10,10,100.0,1,1,100.0,13,2,1,3,15.071428571428571
Penn State,Buffalo,2015-09-12,2015-16,1,0,27,14,41,W,13,Regular,2,14,27,51.9,128,1,39,200,5.1,2,3,3,100.0,2,3,66.7,9,0,0,0,-1.0
Purdue,Indiana State,2015-09-12,2015-16,1,0,38,14,52,W,24,Regular,2,20,36,55.6,289,4,45,251,5.6,1,5,5,100.0,1,3,33.3,8,2,0,2,-1.0
Rutgers,Washington State,2015-09-12,2015-16,1,0,34,37,71,L,-3,Regular,2,23,29,79.3,204,1,37,198,5.4,1,2,3,66.7,2,2,100.0,8,2,1,3,-1.0
Southern Methodist,North Texas,2015-09-12,2015-16,1,0,31,13,44,W,18,Regular,2,17,24,70.8,171,2,53,273,5.2,2,4,4,100.0,1,1,100.0,7,3,0,3,-1.0
South Carolina,Kentucky,2015-09-12,2015-16,1,0,22,26,48,L,-4,Regular,2,17,27,63.0,222,1,34,195,5.7,1,1,1,100.0,3,4,75.0,10,0,1,1,-1.0
Southern Mississippi,Austin Peay,2015-09-12,2015-16,1,0,52,6,58,W,46,Regular,2,22,40,55.0,275,3,30,239,8.0,3,7,7,100.0,1,3,33.3,10,0,1,1,-1.0
Stanford,Central Florida,2015-09-12,2015-16,1,0,31,7,38,W,24,Regular,2,18,30,60.0,361,3,41,130,3.2,1,4,4,100.0,1,1,100.0,7,0,0,0,13.307692307692308
Syracuse,Wake Forest,2015-09-12,2015-16,1,0,30,17,47,W,13,Regular,2,8,14,57.1,221,2,37,149,4.0,0,3,3,100.0,3,3,100.0,12,0,0,0,-1.0
Tennessee,Oklahoma,2015-09-12,2015-16,1,0,24,31,55,L,-7,Regular,2,13,31,41.9,125,1,45,129,2.9,2,3,3,100.0,1,2,50.0,6,0,1,1,23.666666666666668
Texas Tech,Texas-El Paso,2015-09-12,2015-16,1,0,69,20,89,W,49,Regular,2,23,42,54.8,445,4,30,229,7.6,5,9,9,100.0,2,2,100.0,15,0,0,0,-1.0
Troy,Charleston Southern,2015-09-12,2015-16,1,0,44,16,60,W,28,Regular,2,19,28,67.9,249,2,28,125,4.5,3,5,6,83.3,1,1,100.0,8,0,0,0,-1.0
Southern California,Idaho,2015-09-12,2015-16,1,0,59,9,68,W,50,Regular,2,30,37,81.1,453,3,37,284,7.7,5,8,8,100.0,1,1,100.0,11,0,0,0,16.77777777777778
Virginia,Notre Dame,2015-09-12,2015-16,1,0,27,34,61,L,-7,Regular,2,26,38,68.4,289,2,30,127,4.2,2,3,3,100.0,0,1,0.0,3,1,0,1,-1.0
Virginia Tech,Furman,2015-09-12,2015-16,1,0,42,3,45,W,39,Regular,2,19,31,61.3,284,2,41,299,7.3,3,6,6,100.0,0,2,0.0,6,0,0,0,-1.0
Washington,Sacramento State,2015-09-12,2015-16,1,0,49,0,49,W,49,Regular,2,17,25,68.0,326,2,36,218,6.1,5,7,7,100.0,7,7,100.0,28,1,0,1,-1.0
Louisiana State,Auburn,2015-09-19,2015-16,1,0,45,21,66,W,24,Regular,3,12,17,70.6,74,1,48,411,8.6,5,6,6,100.0,1,1,100.0,9,0,0,0,10.785714285714286
Marshall,Norfolk State,2015-09-19,2015-16,1,0,45,7,52,W,38,Regular,3,25,34,73.5,279,4,43,216,5.0,2,6,6,100.0,1,1,100.0,9,1,1,2,-1.0
Massachusetts,Temple,2015-09-19,2015-16,1,0,23,25,48,L,-2,Regular,2,29,55,52.7,393,3,25,45,1.8,0,2,3,66.7,1,1,100.0,5,1,1,2,-1.0
Miami (FL),Nebraska,2015-09-19,2015-16,1,0,36,33,69,W,3,Regular,3,25,42,59.5,379,2,33,132,4.0,1,3,3,100.0,5,5,100.0,18,0,1,1,-1.0
Miami (OH),Cincinnati,2015-09-19,2015-16,1,0,33,37,70,L,-4,Regular,3,14,34,41.2,228,4,41,220,5.4,0,3,4,75.0,2,2,100.0,9,0,1,1,-1.0
Michigan State,Air Force,2015-09-19,2015-16,1,0,35,21,56,W,14,Regular,3,15,23,65.2,247,4,42,77,1.8,0,5,5,100.0,0,1,0.0,5,0,0,0,5.333333333333333
Middle Tennessee State,Charlotte,2015-09-19,2015-16,1,0,73,14,87,W,59,Regular,3,24,29,82.8,379,5,49,316,6.4,4,10,10,100.0,1,1,100.0,13,2,0,2,-1.0
Minnesota,Kent State,2015-09-19,2015-16,1,0,10,7,17,W,3,Regular,3,17,27,63.0,184,1,44,104,2.4,0,1,1,100.0,1,2,50.0,4,1,2,3,-1.0
Missouri,Connecticut,2015-09-19,2015-16,1,0,9,6,15,W,3,Regular,3,20,31,64.5,185,0,34,85,2.5,1,1,1,100.0,0,1,0.0,1,1,1,2,21.75
Navy,East Carolina,2015-09-19,2015-16,1,0,45,21,66,W,24,Regular,2,4,7,57.1,41,0,75,415,5.5,6,6,6,100.0,1,1,100.0,9,0,0,0,20.0
New Mexico State,Texas-El Paso,2015-09-19,2015-16,1,0,47,50,97,L,-3,Regular,3,14,28,50.0,285,3,35,266,7.6,2,5,6,83.3,2,2,100.0,11,0,1,1,-1.0
North Carolina,Illinois,2015-09-19,2015-16,1,0,48,14,62,W,34,Regular,3,19,26,73.1,217,3,37,254,6.9,2,6,6,100.0,2,2,100.0,12,0,1,1,13.166666666666666
North Texas,Rice,2015-09-19,2015-16,1,0,24,38,62,L,-14,Regular,2,19,35,54.3,303,2,27,175,6.5,1,3,3,100.0,1,2,50.0,6,2,1,3,-1.0
Notre Dame,Georgia Tech,2015-09-19,2015-16,1,0,30,22,52,W,8,Regular,3,21,30,70.0,242,1,32,215,6.7,3,3,4,75.0,1,1,100.0,6,1,1,2,9.066666666666666
Ohio State,Northern Illinois,2015-09-19,2015-16,1,0,20,13,33,W,7,Regular,3,16,29,55.2,136,1,37,162,4.4,0,2,2,100.0,2,2,100.0,8,2,3,5,-1.0
Oklahoma,Tulsa,2015-09-19,2015-16,1,0,52,38,90,W,14,Regular,3,32,38,84.2,487,4,47,286,6.1,3,7,7,100.0,1,1,100.0,10,2,0,2,12.066666666666666
Oklahoma State,Texas-San Antonio,2015-09-19,2015-16,1,0,69,14,83,W,55,Regular,3,19,26,73.1,312,3,40,217,5.4,3,9,9,100.0,2,2,100.0,15,1,0,1,13.923076923076923
Oregon,Georgia State,2015-09-19,2015-16,1,0,61,28,89,W,33,Regular,3,23,31,74.2,228,2,53,311,5.9,3,7,7,100.0,4,4,100.0,19,1,0,1,14.555555555555555
Oregon State,San Jose State,2015-09-19,2015-16,1,0,35,21,56,W,14,Regular,3,13,25,52.0,135,1,46,303,6.6,3,5,5,100.0,0,2,0.0,5,1,1,2,-1.0
Purdue,Virginia Tech,2015-09-19,2015-16,1,0,24,51,75,L,-27,Regular,3,12,35,34.3,121,0,29,144,5.0,2,3,3,100.0,1,1,100.0,6,1,2,3,-1.0
San Diego State,South Alabama,2015-09-19,2015-16,1,0,27,34,61,L,-7,Regular,3,13,27,48.1,165,2,38,140,3.7,1,3,3,100.0,2,3,66.7,9,1,0,1,-1.0
Syracuse,Central Michigan,2015-09-19,2015-16,1,0,30,27,57,W,3,Regular,3,11,17,64.7,161,2,30,165,5.5,2,3,3,100.0,1,1,100.0,6,0,1,1,-1.0
Tennessee,Western Carolina,2015-09-19,2015-16,1,0,55,10,65,W,45,Regular,3,21,29,72.4,237,3,49,210,4.3,2,7,7,100.0,2,2,100.0,13,0,0,0,23.666666666666668
Texas,California,2015-09-19,2015-16,1,0,44,45,89,L,-1,Regular,3,20,31,64.5,364,0,52,286,5.5,6,5,6,83.3,1,1,100.0,8,1,1,2,-1.0
Texas A&M,Nevada,2015-09-19,2015-16,1,0,44,27,71,W,17,Regular,3,20,36,55.6,302,4,40,233,5.8,1,5,5,100.0,3,3,100.0,14,1,1,2,16.0
Texas State,Southern Mississippi,2015-09-19,2015-16,1,0,50,56,106,L,-6,Regular,3,31,46,67.4,310,3,37,281,7.6,1,4,5,80.0,2,3,66.7,10,0,0,0,-1.0
Toledo,Iowa State,2015-09-19,2015-16,1,0,30,23,53,W,7,Regular,3,11,28,39.3,138,1,34,171,5.0,1,3,3,100.0,3,4,75.0,12,0,1,1,21.25
Tulane,Maine,2015-09-19,2015-16,1,0,38,7,45,W,31,Regular,3,18,31,58.1,292,1,42,205,4.9,4,5,5,100.0,1,1,100.0,8,1,1,2,-1.0
Central Florida,Furman,2015-09-19,2015-16,1,0,15,16,31,L,-1,Regular,3,14,30,46.7,98,0,42,171,4.1,1,1,1,100.0,2,2,100.0,7,1,3,4,-1.0
UCLA,Brigham Young,2015-09-19,2015-16,1,0,24,23,47,W,1,Regular,3,11,23,47.8,106,1,38,296,7.8,2,3,3,100.0,1,1,100.0,6,0,3,3,16.90909090909091
