School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking,OppSeasonRanking,RankDiff,OppPassCmp,OppPassAtt,OppPassPct,OppPassYds,OppPassTD,OppRushAtt,OppRushYds,OppRushAvg,OppRushTD,OppXPM,OppXPA,OppXPPercent,OppFGM,OppFGA,OppFGPercent,OppKickPts,OppFum,OppInt,OppTotalTO
Arizona State,Colorado,2015-10-10,2015-16,1,0,48,23,71,W,25,Regular,6,20,31,64.5,260,5,40,231,5.8,1,6,6,100.0,2,2,100.0,12,0,1,1,16.0,26.0,-10.0,26.0,41.0,63.4,401.0,1.0,28.0,49.0,1.8,2.0,2.0,2.0,100.0,1.0,1.0,100.0,5.0,1.0,1.0,2.0
Bowling Green State,Massachusetts,2015-10-10,2015-16,1,0,62,38,100,W,24,Regular,6,37,45,82.2,519,5,46,206,4.5,3,8,8,100.0,2,2,100.0,14,0,1,1,26.0,26.0,0.0,37.0,61.0,60.7,486.0,4.0,15.0,30.0,2.0,0.0,5.0,5.0,100.0,1.0,1.0,100.0,8.0,1.0,1.0,2.0
Brigham Young,East Carolina,2015-10-10,2015-16,1,0,45,38,83,W,7,Regular,6,25,38,65.8,341,3,43,167,3.9,3,6,6,100.0,1,1,100.0,9,1,1,2,22.0,26.0,-4.0,30.0,42.0,71.4,385.0,2.0,32.0,133.0,4.2,2.0,5.0,5.0,100.0,1.0,1.0,100.0,8.0,2.0,1.0,3.0
Clemson,Georgia Tech,2015-10-10,2015-16,1,0,43,24,67,W,19,Regular,5,23,33,69.7,336,2,41,201,4.9,3,5,5,100.0,2,2,100.0,11,2,1,3,5.933333333333334,17.25,-11.316666666666666,6.0,14.0,42.9,159.0,2.0,42.0,71.0,1.7,0.0,3.0,3.0,100.0,1.0,1.0,100.0,6.0,0.0,1.0,1.0
Colorado State,Boise State,2015-10-10,2015-16,1,0,10,41,51,L,-31,Regular,6,14,30,46.7,151,1,37,105,2.8,0,1,1,100.0,1,1,100.0,4,1,2,3,26.0,22.5,3.5,24.0,37.0,64.9,396.0,2.0,44.0,201.0,4.6,3.0,5.0,5.0,100.0,2.0,3.0,66.7,11.0,0.0,1.0,1.0
Florida Atlantic,Rice,2015-10-10,2015-16,1,0,26,27,53,L,-1,Regular,5,15,29,51.7,249,2,32,142,4.4,1,2,2,100.0,2,2,100.0,8,0,0,0,26.0,26.0,0.0,22.0,35.0,62.9,284.0,3.0,50.0,203.0,4.1,1.0,3.0,3.0,100.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0
Florida International,Texas-El Paso,2015-10-10,2015-16,1,0,52,12,64,W,40,Regular,6,15,22,68.2,368,3,31,150,4.8,3,7,7,100.0,1,1,100.0,10,0,0,0,26.0,26.0,0.0,12.0,24.0,50.0,117.0,1.0,47.0,155.0,3.3,0.0,1.0,1.0,100.0,1.0,1.0,100.0,4.0,0.0,1.0,1.0
Florida State,Miami (FL),2015-10-10,2015-16,1,0,29,24,53,W,5,Regular,5,25,33,75.8,291,1,36,248,6.9,2,2,2,100.0,3,4,75.0,11,0,0,0,10.6,26.0,-15.4,29.0,49.0,59.2,405.0,3.0,19.0,20.0,1.1,0.0,3.0,3.0,100.0,1.0,1.0,100.0,6.0,0.0,0.0,0.0
Iowa,Illinois,2015-10-10,2015-16,1,0,29,20,49,W,9,Regular,6,15,31,48.4,200,2,51,278,5.5,1,2,3,66.7,3,3,100.0,11,0,0,0,10.1,26.0,-15.9,25.0,43.0,58.1,317.0,1.0,24.0,46.0,1.9,1.0,2.0,2.0,100.0,2.0,2.0,100.0,8.0,1.0,1.0,2.0
Kansas State,Texas Christian,2015-10-10,2015-16,1,0,45,52,97,L,-7,Regular,5,13,33,39.4,157,0,48,228,4.8,6,6,6,100.0,1,1,100.0,9,1,1,2,26.0,5.866666666666666,20.133333333333333,20.0,30.0,66.7,301.0,2.0,23.0,242.0,10.5,4.0,5.0,5.0,100.0,1.0,1.0,100.0,8.0,0.0,2.0,2.0
